Race,Driver,Stint,Compound,Laps,AvgLapTime,FastestLap
austrian,GAS,3.0,MEDIUM,31,0 days 00:01:11.378000,0 days 00:01:10.151000
austrian,HAD,1.0,SOFT,2,0 days 00:01:49.702000,0 days 00:01:42.317000
austrian,HAD,2.0,MEDIUM,26,0 days 00:01:13.315192307,0 days 00:01:10.974000
austrian,HAD,3.0,HARD,41,0 days 00:01:11.464658536,0 days 00:01:10.204000
austrian,HAM,1.0,MEDIUM,26,0 days 00:01:15.126769230,0 days 00:01:10.170000
austrian,HAM,2.0,HARD,24,0 days 00:01:10.974250,0 days 00:01:09.319000
austrian,HAM,3.0,MEDIUM,20,0 days 00:01:10.001750,0 days 00:01:08.628000
austrian,HUL,1.0,SOFT,12,0 days 00:01:20.875833333,0 days 00:01:10.949000
austrian,HUL,2.0,MEDIUM,30,0 days 00:01:11.695133333,0 days 00:01:10.708000
austrian,HUL,3.0,MEDIUM,27,0 days 00:01:10.890703703,0 days 00:01:09.459000
austrian,LAW,1.0,MEDIUM,32,0 days 00:01:15.050125,0 days 00:01:10.941000
austrian,LAW,2.0,HARD,38,0 days 00:01:10.890605263,0 days 00:01:09.977000
austrian,LEC,1.0,MEDIUM,25,0 days 00:01:15.159600,0 days 00:01:09.912000
austrian,LEC,2.0,HARD,24,0 days 00:01:10.762750,0 days 00:01:09.339000
austrian,LEC,3.0,MEDIUM,21,0 days 00:01:10.010333333,0 days 00:01:08.765000
austrian,NOR,1.0,MEDIUM,20,0 days 00:01:15.769400,0 days 00:01:09.313000
austrian,NOR,2.0,HARD,32,0 days 00:01:10.481062500,0 days 00:01:09.309000
austrian,NOR,3.0,MEDIUM,18,0 days 00:01:09.828388888,0 days 00:01:08.272000
austrian,OCO,1.0,MEDIUM,19,0 days 00:01:17.488789473,0 days 00:01:10.909000
austrian,OCO,2.0,HARD,31,0 days 00:01:11.532709677,0 days 00:01:10.244000
austrian,OCO,3.0,HARD,19,0 days 00:01:10.940947368,0 days 00:01:09.550000
austrian,PIA,1.0,MEDIUM,24,0 days 00:01:15.023375,0 days 00:01:09.271000
austrian,PIA,2.0,HARD,29,0 days 00:01:10.456827586,0 days 00:01:09.196000
austrian,PIA,3.0,MEDIUM,17,0 days 00:01:09.798764705,0 days 00:01:07.924000
austrian,RUS,1.0,MEDIUM,18,0 days 00:01:17.286444444,0 days 00:01:10.574000
austrian,RUS,2.0,MEDIUM,27,0 days 00:01:11.603333333,0 days 00:01:10.237000
austrian,RUS,3.0,HARD,25,0 days 00:01:10.625720,0 days 00:01:09.372000
austrian,STR,1.0,MEDIUM,26,0 days 00:01:16.413576923,0 days 00:01:10.931000
austrian,STR,2.0,HARD,27,0 days 00:01:11.901555555,0 days 00:01:10.510000
austrian,STR,3.0,SOFT,16,0 days 00:01:10.878750,0 days 00:01:09.214000
austrian,TSU,1.0,MEDIUM,18,0 days 00:01:17.956166666,0 days 00:01:10.949000
austrian,TSU,2.0,HARD,12,0 days 00:01:13.105250,0 days 00:01:10.539000
austrian,TSU,3.0,MEDIUM,30,0 days 00:01:11.769066666,0 days 00:01:10.015000
austrian,TSU,4.0,SOFT,8,0 days 00:01:14.640750,0 days 00:01:09.802000
azerbaijan,ALB,1.0,MEDIUM,1,0 days 00:02:36.417000,0 days 00:02:36.417000
azerbaijan,ALB,2.0,MEDIUM,11,0 days 00:01:49.044000,0 days 00:01:47.566000
azerbaijan,ALB,3.0,HARD,36,0 days 00:01:46.138833333,0 days 00:01:44.152000
azerbaijan,ALO,1.0,MEDIUM,18,0 days 00:01:49.990500,0 days 00:01:46.621000
azerbaijan,ALO,2.0,HARD,30,0 days 00:01:46.799900,0 days 00:01:45.002000
azerbaijan,ANT,1.0,MEDIUM,15,0 days 00:01:48.780800,0 days 00:01:46.243000
azerbaijan,ANT,2.0,HARD,33,0 days 00:01:45.562515151,0 days 00:01:44.091000
azerbaijan,BEA,1.0,HARD,25,0 days 00:01:49.748720,0 days 00:01:46.944000
azerbaijan,BEA,2.0,MEDIUM,23,0 days 00:01:45.772608695,0 days 00:01:44.288000
azerbaijan,BOR,1.0,HARD,23,0 days 00:01:49.218521739,0 days 00:01:46.512000
azerbaijan,BOR,2.0,MEDIUM,25,0 days 00:01:46.439720,0 days 00:01:44.930000
azerbaijan,COL,1.0,MEDIUM,13,0 days 00:01:51.896000,0 days 00:01:47.606000
azerbaijan,COL,2.0,HARD,34,0 days 00:01:47.617500,0 days 00:01:46.055000
azerbaijan,GAS,1.0,HARD,32,0 days 00:01:49.425875,0 days 00:01:46.716000
azerbaijan,GAS,2.0,MEDIUM,15,0 days 00:01:47.482533333,0 days 00:01:45.492000
azerbaijan,HAD,1.0,MEDIUM,26,0 days 00:01:48.518615384,0 days 00:01:46.017000
azerbaijan,HAD,2.0,HARD,22,0 days 00:01:45.380454545,0 days 00:01:43.884000
azerbaijan,HAM,1.0,HARD,33,0 days 00:01:47.742363636,0 days 00:01:45.213000
azerbaijan,HAM,2.0,MEDIUM,15,0 days 00:01:45.663200,0 days 00:01:43.977000
azerbaijan,HUL,1.0,HARD,33,0 days 00:01:49.177272727,0 days 00:01:46.173000
azerbaijan,HUL,2.0,MEDIUM,15,0 days 00:01:45.868866666,0 days 00:01:44.370000
azerbaijan,LAW,1.0,MEDIUM,17,0 days 00:01:48.415117647,0 days 00:01:46.258000
azerbaijan,LAW,2.0,HARD,31,0 days 00:01:45.895000,0 days 00:01:44.531000
azerbaijan,LEC,1.0,MEDIUM,16,0 days 00:01:49.455687500,0 days 00:01:46.016000
azerbaijan,LEC,2.0,HARD,32,0 days 00:01:45.885687500,0 days 00:01:44.274000
azerbaijan,NOR,1.0,MEDIUM,34,0 days 00:01:47.331617647,0 days 00:01:45.171000
azerbaijan,NOR,2.0,HARD,14,0 days 00:01:46.106000,0 days 00:01:44.155000
azerbaijan,OCO,1.0,HARD,1,0 days 00:02:32.985000,0 days 00:02:32.985000
azerbaijan,OCO,3.0,HARD,47,0 days 00:01:47.122361702,0 days 00:01:45.388000
azerbaijan,RUS,1.0,HARD,36,0 days 00:01:46.758138888,0 days 00:01:44.692000
azerbaijan,RUS,2.0,MEDIUM,12,0 days 00:01:45.551833333,0 days 00:01:43.754000
azerbaijan,SAI,1.0,MEDIUM,24,0 days 00:01:47.396291666,0 days 00:01:45.710000
azerbaijan,SAI,2.0,HARD,24,0 days 00:01:45.525791666,0 days 00:01:43.972000
azerbaijan,STR,1.0,MEDIUM,34,0 days 00:01:48.877352941,0 days 00:01:46.442000
azerbaijan,STR,2.0,HARD,14,0 days 00:01:47.165285714,0 days 00:01:45.083000
azerbaijan,TSU,1.0,HARD,35,0 days 00:01:47.167028571,0 days 00:01:44.952000
azerbaijan,TSU,2.0,MEDIUM,13,0 days 00:01:46.264000,0 days 00:01:44.434000
azerbaijan,VER,1.0,HARD,37,0 days 00:01:46.227918918,0 days 00:01:44.653000
azerbaijan,VER,2.0,MEDIUM,11,0 days 00:01:45.489818181,0 days 00:01:43.388000
