Race,Driver,NumBrakingEvents,AvgBrakeDistance,AvgEntrySpeed,AvgExitSpeed,AvgSpeedReduction
austrian,ANT,2,135.72555921347598,247.5,71.41182024054207,176.08817975945794
austrian,BEA,517,89.49270848655391,257.2050290135397,148.83617990115275,108.36884911238688
austrian,BOR,533,86.06322907176866,249.45403377110694,147.37958161202795,102.07445215907906
austrian,COL,519,85.77504578168775,246.3776493256262,152.11777239530153,94.2598769303248
austrian,GAS,497,92.17051083174947,254.9456740442656,149.9803956917559,104.96527835250976
austrian,HAD,500,82.69734919616943,255.008,152.85191180358822,102.15608819641174
austrian,HAM,518,90.82924955471258,254.86486486486487,150.87827301234373,103.98659185252113
austrian,HUL,503,79.90776347538375,252.99403578528828,151.33450740972836,101.65952837555979
austrian,LAW,508,82.30438922446241,254.07677165354332,151.24709818944524,102.82967346409808
austrian,LEC,516,83.74026083106675,255.1996124031008,152.3928652416966,102.80674716140386
austrian,NOR,514,81.85673317114798,257.2548638132296,158.1015198071737,99.15334400605585
austrian,OCO,556,90.77976424729324,247.14208633093526,143.90324061118756,103.23884571974766
austrian,PIA,500,85.04063761613115,264.186,158.15572388130965,106.03027611869057
austrian,RUS,511,83.28870438649248,253.96868884540118,154.08744384559526,99.88124499980589
austrian,STR,498,88.20922599897574,252.2309236947791,151.1401843640904,101.0907393306888
austrian,TSU,498,92.37670546460444,254.90963855421685,147.69310323243408,107.21653532178284
austrian,VER,7,37.303800103334474,93.71428571428571,40.90567242790998,52.80861328637574
azerbaijan,ALB,654,76.4765205225483,205.78593272171253,98.5845377564144,107.20139496529815
azerbaijan,ALO,643,73.92364414630347,207.27838258164851,104.02871729987972,103.24966528176874
azerbaijan,ANT,648,70.21890063791791,209.21913580246914,106.86934177620269,102.34979402626642
azerbaijan,BEA,680,75.05305063682393,204.37205882352941,101.01810789720976,103.3539509263197
azerbaijan,BOR,684,73.47725973107467,199.05847953216374,97.28971071149269,101.76876882067099
azerbaijan,COL,649,69.22490121744548,198.6456086286595,102.8603365725434,95.78527205611617
azerbaijan,GAS,608,75.01932259375931,207.2253289473684,100.68651166337156,106.53881728399683
azerbaijan,HAD,611,68.87591877461124,206.46644844517186,99.23947471486954,107.2269737303023
azerbaijan,HAM,685,75.6684195389955,200.57664233576642,97.68155533482053,102.89508700094582
azerbaijan,HUL,676,69.71812238456846,201.82988165680473,98.13505802370378,103.69482363310094
azerbaijan,LAW,640,70.37970632626244,199.059375,99.2376955056297,99.8216794943703
azerbaijan,LEC,690,72.86550885589472,201.57246376811594,100.67336792652262,100.89909584159334
