Race,Driver,Stint,Compound,Laps,AvgLapTime
austrian,STR,1.0,MEDIUM,26,0 days 00:01:16.413576923
austrian,STR,2.0,HARD,27,0 days 00:01:11.901555555
austrian,STR,3.0,SOFT,16,0 days 00:01:10.878750
austrian,TSU,1.0,MEDIUM,18,0 days 00:01:17.956166666
austrian,TSU,2.0,HARD,12,0 days 00:01:13.105250
austrian,TSU,3.0,MEDIUM,30,0 days 00:01:11.769066666
austrian,TSU,4.0,SOFT,8,0 days 00:01:14.640750
azerbaijan,ALB,1.0,MEDIUM,1,0 days 00:02:36.417000
azerbaijan,ALB,2.0,MEDIUM,11,0 days 00:01:49.044000
azerbaijan,ALB,3.0,HARD,36,0 days 00:01:46.138833333
azerbaijan,ALO,1.0,MEDIUM,18,0 days 00:01:49.990500
azerbaijan,ALO,2.0,HARD,30,0 days 00:01:46.799900
azerbaijan,ANT,1.0,MEDIUM,15,0 days 00:01:48.780800
azerbaijan,ANT,2.0,HARD,33,0 days 00:01:45.562515151
azerbaijan,BEA,1.0,HARD,25,0 days 00:01:49.748720
azerbaijan,BEA,2.0,MEDIUM,23,0 days 00:01:45.772608695
azerbaijan,BOR,1.0,HARD,23,0 days 00:01:49.218521739
azerbaijan,BOR,2.0,MEDIUM,25,0 days 00:01:46.439720
azerbaijan,COL,1.0,MEDIUM,13,0 days 00:01:51.896000
azerbaijan,COL,2.0,HARD,34,0 days 00:01:47.617500
azerbaijan,GAS,1.0,HARD,32,0 days 00:01:49.425875
azerbaijan,GAS,2.0,MEDIUM,15,0 days 00:01:47.482533333
azerbaijan,HAD,1.0,MEDIUM,26,0 days 00:01:48.518615384
azerbaijan,HAD,2.0,HARD,22,0 days 00:01:45.380454545
azerbaijan,HAM,1.0,HARD,33,0 days 00:01:47.742363636
azerbaijan,HAM,2.0,MEDIUM,15,0 days 00:01:45.663200
azerbaijan,HUL,1.0,HARD,33,0 days 00:01:49.177272727
azerbaijan,HUL,2.0,MEDIUM,15,0 days 00:01:45.868866666
azerbaijan,LAW,1.0,MEDIUM,17,0 days 00:01:48.415117647
azerbaijan,LAW,2.0,HARD,31,0 days 00:01:45.895000
azerbaijan,LEC,1.0,MEDIUM,16,0 days 00:01:49.455687500
azerbaijan,LEC,2.0,HARD,32,0 days 00:01:45.885687500
azerbaijan,NOR,1.0,MEDIUM,34,0 days 00:01:47.331617647
azerbaijan,NOR,2.0,HARD,14,0 days 00:01:46.106000
azerbaijan,OCO,1.0,HARD,1,0 days 00:02:32.985000
azerbaijan,OCO,3.0,HARD,47,0 days 00:01:47.122361702
azerbaijan,RUS,1.0,HARD,36,0 days 00:01:46.758138888
azerbaijan,RUS,2.0,MEDIUM,12,0 days 00:01:45.551833333
azerbaijan,SAI,1.0,MEDIUM,24,0 days 00:01:47.396291666
