Race,Driver,FullThrottleRatio,BrakeUsageRatio,AvgBrake,AvgGear,GearChangeRate,AvgSpeed,TopSpeed,DRSUsageRatio
belgian,LEC,0.5364447317388494,0.17872010342598577,1.0,5.523413057530704,0.048972204266321914,214.00786970116926,333.0,0.32687782805429866
belgian,NOR,0.5189095247976758,0.1540516704710521,1.0,5.325223075326831,0.058596181780452374,214.7246306964774,326.0,0.3275575845611123
belgian,OCO,0.492951271835734,0.2233629584227194,1.0,5.503626519562775,0.05079681274900399,210.72232749628338,343.0,0.3240627234651139
belgian,PIA,0.513796236210253,0.145489941596366,1.0,5.386735885788449,0.05783257624918884,214.74034542563024,326.0,0.3254510058403634
belgian,RUS,0.49453354649063996,0.16368418338404414,1.0,5.468619462637306,0.05569594141612088,212.81293478127682,339.0,0.33904904337063585
belgian,SAI,0.5144883175186206,0.18717477808386898,1.0,5.525533108866442,0.0485154576063667,210.41882905753658,343.0,0.36526885011733495
belgian,STR,0.5162090300148284,0.17750677506775067,1.0,5.399652298409777,0.05762642532085698,210.7301697553457,349.0,0.35731451654139185
belgian,TSU,0.4948189842650633,0.16791608033772548,1.0,5.333606242804144,0.04914929000895484,211.47001588833197,341.0,0.42937188179608543
belgian,VER,0.5420845827732396,0.18250439458173923,1.0,5.291076414021301,0.05343294385275566,213.6915934538861,325.0,0.32775824630338124
british,ALB,0.3207606829885265,0.24130454422260367,1.0,4.69306170385762,0.05120155388924022,184.69091225389457,334.0,0.658641250338784
british,ALO,0.34514213461581883,0.2185418501207975,1.0,4.861319966583125,0.056966741177267494,185.06537784367558,336.0,0.6707986181670392
british,ANT,0.19720434879076992,0.23088528954958953,1.0,4.021699578433548,0.045617927668071885,161.1415965443146,312.0,0.8960284002662525
british,BEA,0.3560312161674486,0.2307831107903284,1.0,4.524427102129195,0.056432695777697585,184.28815590545787,346.0,0.7011909058101768
british,BOR,0.1451111642361941,0.2679894812335644,1.0,3.523069567296199,0.0401625627540043,132.349980958093,297.0,1.0
british,GAS,0.35117971433737116,0.2305866931838727,1.0,4.685635508949557,0.05044295787380221,184.8448634169501,335.0,0.6520746700415838
british,HAD,0.23285780027611597,0.23435342843994478,1.0,3.8086746433502072,0.042855499309710075,158.53982336200497,316.0,0.8652208927749655
british,HAM,0.33282674772036475,0.27843306265027445,1.0,4.916186544481241,0.04815587714920837,185.68292449628376,325.0,0.6554234904504831
british,HUL,0.361116156570702,0.20667968395241124,1.0,4.7392607392607395,0.04572700027245482,186.55343781412734,325.0,0.6452411225138498
british,LAW,0.060945273631840796,0.2736318407960199,1.0,1.914179104477612,0.022388059701492536,56.7639394974639,252.0,1.0
british,LEC,0.3367693727352524,0.219621435484234,1.0,4.645967905291351,0.05214827485314308,184.12470422585523,332.0,0.6650086651211992
british,NOR,0.3661839941531153,0.19459163164626347,1.0,4.551274438150923,0.05205097752603691,187.1498187073359,319.0,0.6449844692124977
british,OCO,0.331891112312962,0.27390932035334414,1.0,4.873287362538309,0.049351000540832884,184.2363606749062,335.0,0.6583738957995313
british,PIA,0.36293541985081096,0.1803043091452426,1.0,4.56114697629856,0.05228459976731984,187.1435045258833,319.0,0.6469648926705751
british,RUS,0.3386576424139876,0.20338409475465313,1.0,4.77843203609701,0.051212633953750704,184.44867363788995,332.0,0.6658544839255499
british,SAI,0.31818079376169117,0.25002817155349216,1.0,4.83009172657817,0.04910865204750851,184.28733578994982,325.0,0.6346036825854725
british,STR,0.35620988881858445,0.22493898580855104,1.0,4.811036789297659,0.04964747356051704,184.96258702630726,321.0,0.6362650275693754
british,TSU,0.30009539817380637,0.2212556216780993,1.0,4.625244173897243,0.05042474901194748,182.3686577882159,323.0,0.6395538999682006
british,VER,0.3563545906829489,0.24782903663500677,1.0,4.423224785165083,0.05845771144278607,185.20023916711207,332.0,0.6487562189054726
canadian,ALB,0.4767974436357181,0.23248712941594177,1.0,4.962151606603941,0.0807030001775253,192.628881653186,340.0,0.2651162790697674
canadian,ALO,0.5186328662051666,0.21204081140403772,1.0,5.106949033985384,0.08022383559661352,196.36355024440186,334.0,0.325574664126004
canadian,ANT,0.5096290926664251,0.19833272924972817,1.0,4.869227981152592,0.07466473359913012,196.0962712040395,335.0,0.1376585719463574
canadian,BEA,0.5123535804854487,0.22736384494626252,1.0,4.991039729501268,0.07557058326289096,194.50607888512283,343.0,0.37879483154208426
canadian,BOR,0.5076744859542427,0.21312385365382758,1.0,5.032073559223863,0.07387296071049329,194.05848837655884,344.0,0.2676175306496766
canadian,COL,0.48839005551532705,0.19196234612599566,1.0,4.816702872314748,0.07559739319333816,194.19069672390535,332.0,0.2920588945208786
canadian,GAS,0.4958129208195574,0.1964669256944277,1.0,4.947076284480054,0.07683953954195526,194.39883856426945,345.0,0.3740618288003475
canadian,HAD,0.4561555909463829,0.21236909415568747,1.0,4.879542493122919,0.07637179672795714,193.7856883224627,341.0,0.4133970368225472
canadian,HAM,0.5119280218057264,0.2230745109390453,1.0,5.183829027667222,0.07549991557517427,196.95594520101815,337.0,0.1400969679426876
canadian,HUL,0.5117489697057335,0.20328730147253754,1.0,5.015737594293014,0.07716964307232545,196.91191402142138,342.0,0.23693153061962258
canadian,LAW,0.498978469275499,0.2095866729530096,1.0,4.870281313845671,0.08577714914348578,197.42086133895828,340.0,0.13858242967153858
canadian,LEC,0.5199265735954784,0.2124051978165306,1.0,5.040770977247476,0.0746340756485194,197.50849077904766,336.0,0.13339935268827594
canadian,NOR,0.5467064022197102,0.21531702805467065,1.0,4.856027129791388,0.08454937827561401,197.9558821522711,338.0,0.17038331106772173
canadian,OCO,0.5053155504010824,0.21878322219000676,1.0,5.0414371315357105,0.07552913888083503,194.5699975856105,336.0,0.2156180535420895
canadian,PIA,0.5036358804628802,0.20527625443915637,1.0,4.965839634720846,0.07996521150919238,197.2812061980692,339.0,0.19058778054260384
canadian,RUS,0.5246852420192842,0.19429206640728836,1.0,5.053792803460525,0.07684686208646481,196.97862601018403,330.0,0.12404243493390686
canadian,SAI,0.47234906139015725,0.22710251020753303,1.0,5.132347611799666,0.07325263946268512,194.11346247999336,334.0,0.27957768597038
canadian,STR,0.4983833606794711,0.2044686806292829,1.0,4.98199980696844,0.0845960814593186,193.71487656720157,340.0,0.29372164848952803
canadian,TSU,0.4628440366972477,0.20750845002414292,1.0,4.894133268952197,0.0714389183969097,194.28947794631108,341.0,0.286286817962337
