Race,Driver,AvgBrakeDistance,AvgEntrySpeed,AvgExitSpeed,AvgSpeedReduction,FullThrottleRatio,BrakeUsageRatio,GearChangeRate,DRSUsageRatio
azerbaijan,BOR,73.47725973107467,199.05847953216372,97.28971071149267,101.768768820671,0.5070774747570067,0.2470982353496272,0.0749032745116542,0.1604699443238652
azerbaijan,COL,69.22490121744548,198.6456086286595,102.8603365725434,95.78527205611616,0.4832741231730287,0.2238382489687894,0.0606327936863689,0.1462530697885124
azerbaijan,GAS,75.01932259375931,207.2253289473684,100.68651166337156,106.53881728399683,0.5014431219139852,0.2237673830594184,0.067957922858574,0.1952627436013644
azerbaijan,HAD,68.87591877461124,206.46644844517184,99.23947471486954,107.2269737303023,0.5123663180858884,0.2079153920940931,0.0671788669939057,0.1408550899907519
azerbaijan,HAM,75.6684195389955,200.5766423357664,97.68155533482052,102.89508700094582,0.4901188583900738,0.2544186377547389,0.0739958719840573,0.167754027187967
azerbaijan,HUL,69.71812238456846,201.82988165680476,98.13505802370378,103.69482363310094,0.5068248140826509,0.2295961592770403,0.0716605478678339,0.228819542502118
azerbaijan,LAW,70.37970632626244,199.059375,99.2376955056297,99.8216794943703,0.4927962782749044,0.2274097457928841,0.0617360138615271,0.1433148987681279
azerbaijan,LEC,72.86550885589472,201.57246376811597,100.67336792652262,100.89909584159334,0.5113746886490333,0.2462815798837623,0.0716166528288459,0.1921954691021231
azerbaijan,NOR,76.29569408165494,212.69421487603304,103.82802738650416,108.86618748952888,0.4984455466691981,0.2173624130811401,0.0682298217718394,0.2022213256757719
azerbaijan,OCO,73.29541214117204,197.3370629370629,98.60151328484454,98.73554965221837,0.4798681422180362,0.2551683541323287,0.0721685895926536,0.1783376501059571
azerbaijan,PIA,67.00164319584829,177.0,88.4644095029277,88.53559049707229,0.5964912280701754,0.6274509803921569,0.0361197110423116,1.0
azerbaijan,RUS,72.77682620483826,215.6307189542484,107.04185056691306,108.5888683873353,0.5056423197790687,0.2158603942481668,0.07830206646986,0.171388439196267
azerbaijan,SAI,76.64708894625349,205.29457364341084,101.66487818640756,103.62969545700328,0.4892118847681804,0.2450698194447748,0.0729595356471679,0.1341675190903251
azerbaijan,STR,70.70163918909101,204.2443095599393,104.19186754544124,100.05244201449806,0.5043410925474,0.226041862211376,0.0827388774169326,0.1653134972780176
azerbaijan,TSU,71.89736882609498,202.52329192546583,99.8669016616682,102.65639026379768,0.4926545627150824,0.2236857719235789,0.066192001898659,0.1679126616826866
azerbaijan,VER,69.3620136828127,204.73506891271057,103.20578150929605,101.52928740341454,0.5126626089032104,0.2202410788876954,0.0664757130922544,0.1345267931734097
bahrain,ALB,102.0449109652202,242.48627450980396,109.93488769137996,132.55138681842394,0.3908742454497463,0.2336753196079781,0.0669971768918267,0.2297964148821409
bahrain,ALO,95.2688434589728,239.3125,114.30316163493478,125.0093383650652,0.434803528468324,0.212807881773399,0.0760453660213082,0.2073089700996677
bahrain,ANT,103.14149021121312,248.10020876826724,112.00885482681107,136.09135394145608,0.4107979065283261,0.2218115875493526,0.0704251216600863,0.2957946928656689
bahrain,BEA,96.79515891131048,244.49721706864565,118.07587093832043,126.4213461303252,0.4460973370064279,0.2266528925619834,0.0682736455463728,0.2360422405876951
bahrain,BOR,115.05992404355742,249.9131313131313,108.6344621236614,141.2786691894699,0.4278390625715201,0.2537877054057765,0.0714514578660685,0.2462809539067149
bahrain,DOO,100.00510900810984,248.14519427402865,116.80959802955913,131.3355962444695,0.4369809589355357,0.2108281715989906,0.0728607478779536,0.2028676301904106
bahrain,GAS,97.74987637772232,239.8962818003914,116.18657435798266,123.70970744240871,0.4667908559863851,0.2233107952716066,0.0643944620762614,0.1680925440412124
bahrain,HAD,104.6163405171718,247.16564417177915,111.25669407878868,135.90895009299047,0.4218864636830521,0.2281960748349229,0.0647927366104181,0.1832355099046221
bahrain,HAM,103.73911020779384,244.83234714003945,110.41898801194829,134.41335912809117,0.4374078850405306,0.2334653647752395,0.0676123802505526,0.1914839719970523
bahrain,HUL,99.42088645209454,242.3407258064516,108.78478080411604,133.55594500233553,0.4509817414441692,0.2202495641802,0.0639049454078355,0.1886640976236352
bahrain,LAW,109.1546997921448,244.970893970894,108.83811871384576,136.13277525704825,0.4213256219590562,0.2386624437712292,0.0702285871660699,0.2127513081795648
bahrain,LEC,95.29586621308108,246.33667334669337,114.55771161851374,131.77896172817958,0.468808376190586,0.2119416065127649,0.0648970272825811,0.2939969096653675
bahrain,NOR,101.11960913727953,244.00198807157057,116.74171657617664,127.26027149539394,0.4329325980109375,0.2197429448277453,0.0702402104437316,0.2828529893624386
bahrain,OCO,93.19002282068492,233.53658536585365,121.21054058995256,112.32604477590108,0.4293261059304515,0.2589232394689696,0.0662409848867655,0.1685653911525564
bahrain,PIA,96.68701525534397,246.90546218487395,119.6882200222297,127.2172421626442,0.4218515004974664,0.2017862514172007,0.0714037807445799,0.1180499317429834
bahrain,RUS,93.9776453807488,241.1409214092141,114.17135350797498,126.96956790123907,0.5483937967322071,0.3698883042555155,0.0509092587464229,0.3466491276654666
bahrain,SAI,97.5069196448526,241.11165048543688,108.1260082024458,132.98564228299114,0.4258694847181474,0.2300965619392144,0.0679921383199931,0.2173070897541801
bahrain,STR,106.03552809486136,243.086,113.822894568748,129.26310543125197,0.4220996245765039,0.226536031498947,0.0828678692427433,0.2020190458749198
bahrain,TSU,91.99534824590717,236.88823529411764,113.65508499308518,123.23315030103244,0.41830875935878,0.2098663359514951,0.068347802122089,0.261839143815167
bahrain,VER,103.51773085024156,246.556,115.0939417442116,131.46205825578832,0.4435114679426717,0.2225263981228001,0.0710851411350617,0.2558835031861786
belgian,ALB,74.28753038546738,217.72727272727272,136.58330800643,81.1439647208427,0.5001287995878413,0.1905976300875837,0.058887171561051,0.3251159196290571
belgian,ALO,81.53548398942087,222.54303278688525,139.659624719088,82.88340806779742,0.5130456982384478,0.1865968853714577,0.0572121521572632,0.4318611182027062
belgian,ANT,80.36866053800566,234.23849372384936,147.17318865793823,87.06530506591119,0.508133091596231,0.1800005107121881,0.0560251270396568,0.4359439238017415
belgian,BEA,75.07962190155001,224.76481835564053,139.84000830501975,84.92481005062083,0.5250076789188083,0.1809153271219412,0.0553906010033787,0.4544640114671854
belgian,BOR,79.18577092798755,214.73052631578943,125.11743729412608,89.61308902166338,0.5203646635850026,0.1843348741653826,0.0512840267077555,0.3479969183359014
belgian,COL,75.53384210247133,220.86776859504133,135.24542280807907,85.6223457869622,0.4809952328753155,0.173018584138476,0.0527952685650189,0.3324240956484054
belgian,GAS,90.81815755910122,233.05977011494247,135.51810093879104,97.54166917615156,0.5075257256949778,0.1883223263195617,0.0511698151845594,0.330056826908309
belgian,HAD,80.94781356176411,226.7339901477833,133.81308409670714,92.92090605107607,0.5221747572815534,0.1572297734627831,0.0461618122977346,0.3442588996763754
belgian,HAM,73.37580196210092,209.4900900900901,131.33306309224406,78.15702699784586,0.5172822335548344,0.1994797300777829,0.0517951887910163,0.37624272394787
belgian,HUL,78.28169355917322,225.7511210762332,132.04058792713792,93.71053314909524,0.5267333828158992,0.1662870159453303,0.0502162729390084,0.3660771416139848
