Race,Driver,Compound,Stint,StintLength,AvgPace,FirstThreeAvg,LastThreeAvg,PaceDropoff,DegradationRate
austrian,HAM,MEDIUM,1.0,26,75.12676923076923,105.931,72.41133333333333,-33.519666666666666,-1.2892179487179487
austrian,HAM,HARD,2.0,24,70.97425,75.97000000000001,72.053,-3.917000000000016,-0.16320833333333398
austrian,HAM,MEDIUM,3.0,20,70.00175000000002,74.49,69.479,-5.010999999999996,-0.2505499999999998
austrian,HUL,SOFT,1.0,12,80.87583333333333,107.63499999999999,72.58033333333333,-35.05466666666666,-2.9212222222222217
austrian,HUL,MEDIUM,2.0,30,71.69513333333333,76.53566666666667,72.07600000000001,-4.459666666666664,-0.14865555555555546
austrian,HUL,MEDIUM,3.0,27,70.89070370370371,75.91600000000001,70.33699999999999,-5.579000000000022,-0.20662962962963044
austrian,LAW,MEDIUM,1.0,32,75.05012500000001,106.57766666666667,73.02999999999999,-33.547666666666686,-1.048364583333334
austrian,LAW,HARD,2.0,38,70.89060526315791,76.95766666666667,70.46666666666665,-6.491000000000014,-0.1708157894736846
austrian,LEC,MEDIUM,1.0,25,75.1596,105.77566666666667,72.56400000000001,-33.21166666666666,-1.3284666666666665
austrian,LEC,HARD,2.0,24,70.76275,76.29866666666668,71.17666666666668,-5.122,-0.21341666666666667
austrian,LEC,MEDIUM,3.0,21,70.01033333333335,75.43466666666667,69.145,-6.289666666666676,-0.29950793650793694
austrian,NOR,MEDIUM,1.0,20,75.76939999999999,105.43633333333334,71.938,-33.498333333333335,-1.6749166666666668
austrian,NOR,HARD,2.0,32,70.48106250000001,75.916,71.48833333333333,-4.427666666666667,-0.13836458333333335
austrian,NOR,MEDIUM,3.0,18,69.8283888888889,74.82366666666667,69.57833333333332,-5.245333333333349,-0.2914074074074083
austrian,OCO,MEDIUM,1.0,19,77.48878947368422,107.24233333333335,72.99466666666667,-34.247666666666674,-1.802508771929825
austrian,OCO,HARD,2.0,31,71.53270967741935,76.705,72.11633333333333,-4.5886666666666684,-0.14802150537634415
austrian,OCO,HARD,3.0,19,70.94094736842106,75.62833333333333,70.15033333333334,-5.477999999999994,-0.2883157894736839
austrian,PIA,MEDIUM,1.0,24,75.023375,105.617,72.305,-33.312,-1.388
austrian,PIA,HARD,2.0,29,70.4568275862069,75.901,71.05533333333334,-4.845666666666659,-0.16709195402298824
austrian,PIA,MEDIUM,3.0,17,69.79876470588235,74.38266666666668,69.841,-4.541666666666686,-0.26715686274509914
austrian,RUS,MEDIUM,1.0,18,77.28644444444444,106.05799999999999,72.94366666666666,-33.114333333333335,-1.8396851851851852
austrian,RUS,MEDIUM,2.0,27,71.60333333333334,76.741,71.85266666666666,-4.888333333333335,-0.18104938271604945
austrian,RUS,HARD,3.0,25,70.62572,75.24766666666666,70.04766666666666,-5.200000000000003,-0.2080000000000001
austrian,STR,MEDIUM,1.0,26,76.41357692307693,107.09400000000001,74.81866666666666,-32.27533333333335,-1.241358974358975
austrian,STR,HARD,2.0,27,71.90155555555556,76.76933333333334,72.70766666666667,-4.061666666666667,-0.15043209876543212
